I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
,-0.027,,0.034,-0.028,-0.005,,,,,,
,-0.025,,0.032,-0.028,-0.004,,,,,,
,-0.023,,0.03,-0.026,-0.003,,,,,,
,-0.022,,0.028,-0.025,-0.002,,,,,,
,-0.019,,0.027,-0.024,-0.002,,,,,,
,-0.017,,0.025,-0.024,-0.001,,,,,,
,-0.016,,0.023,-0.023,0.0,,,,,,
,-0.014,,0.021,-0.022,0.001,,,,,,
,-0.012,,0.019,-0.021,0.001,,,,,,
,-0.01,,0.017,-0.019,0.001,,,,,,
,-0.01,,0.016,-0.018,0.001,,,,,,
,-0.009,,0.015,-0.016,0.0,,,,,,
,-0.009,,0.015,-0.015,0.0,,,,,,
,-0.009,,0.015,-0.014,0.0,,,,,,
,-0.009,,0.015,-0.014,0.0,,,,,,
,-0.01,,0.014,-0.015,0.0,,,,,,
,-0.01,,0.014,-0.014,0.0,,,,,,
,-0.009,,0.015,-0.015,0.0,,,,,,
,-0.009,,0.015,-0.015,0.0,,,,,,
,-0.01,,0.014,-0.014,0.0,,,,,,
,-0.01,,0.014,-0.014,0.0,,,,,,
,-0.009,,0.015,-0.015,0.0,,,,,,
,-0.009,,0.015,-0.014,0.0,,,,,,
,-0.01,,0.014,-0.013,0.0,,,,,,
,-0.01,,0.012,-0.011,-0.001,,,,,,
,-0.009,,0.01,-0.009,-0.001,,,,,,
,-0.007,,0.008,-0.007,0.0,,,,,,
,-0.005,,0.007,-0.006,0.0,,,,,,
,-0.004,,0.006,-0.006,0.0,,,,,,
,-0.005,,0.006,-0.007,0.0,,,,,,
,-0.004,,0.006,-0.006,0.0,,,,,,
,-0.002,,0.004,-0.005,0.001,,,,,,
,0.0,,0.002,-0.004,0.002,,,,,,
,0.0,,0.002,-0.005,0.001,,,,,,
,0.0,,0.002,-0.005,0.001,,,,,,
,0.0,,0.001,-0.004,0.002,,,,,,
,0.002,,0.0,-0.003,0.003,,,,,,
,0.004,,-0.002,-0.003,0.004,,,,,,
,0.005,,-0.002,-0.004,0.005,,,,,,
,0.005,,0.0,-0.006,0.006,,,,,,
,0.005,,0.0,-0.008,0.007,,,,,,
,0.007,,-0.001,-0.009,0.009,,,,,,
,0.009,,-0.002,-0.009,0.011,,,,,,
,0.01,,-0.002,-0.011,0.013,,,,,,
,0.009,,-0.001,-0.013,0.014,,,,,,
,0.009,,0.0,-0.014,0.014,,,,,,
,0.011,,0.0,-0.016,0.016,,,,,,
,0.013,,-0.002,-0.016,0.018,,,,,,
,0.015,,-0.003,-0.018,0.02,,,,,,
,0.015,,-0.001,-0.021,0.02,,,,,,
,0.015,,0.0,-0.023,0.021,,,,,,
,0.016,,-0.001,-0.022,0.022,,,,,,
,0.018,,-0.004,-0.02,0.024,,,,,,
,0.02,,-0.005,-0.02,0.024,,,,,,
,0.019,,-0.003,-0.022,0.025,,,,,,
,0.019,,-0.002,-0.024,0.026,,,,,,
,0.021,,-0.004,-0.024,0.028,,,,,,
,0.023,,-0.006,-0.023,0.029,,,,,,
,0.024,,-0.007,-0.022,0.03,,,,,,
,0.024,,-0.008,-0.022,0.029,,,,,,
,0.024,,-0.008,-0.022,0.03,,,,,,
,0.026,,-0.009,-0.021,0.031,,,,,,
,0.03,,-0.013,-0.019,0.033,,,,,,
,0.035,,-0.018,-0.017,0.035,,,,,,
,0.038,,-0.021,-0.016,0.036,,,,,,
,0.039,,-0.022,-0.015,0.036,,,,,,
,0.04,,-0.023,-0.014,0.037,,,,,,
,0.042,,-0.025,-0.014,0.038,,,,,,
,0.045,,-0.028,-0.013,0.039,,,,,,
,0.047,,-0.03,-0.011,0.04,,,,,,
,0.048,,-0.031,-0.01,0.041,,,,,,
,0.05,,-0.033,-0.01,0.041,,,,,,
,0.051,,-0.034,-0.009,0.042,,,,,,
,0.05,,-0.033,-0.009,0.041,,,,,,
,0.048,,-0.031,-0.01,0.04,,,,,,
,0.047,,-0.03,-0.01,0.04,,,,,,
,0.051,,-0.034,-0.009,0.043,,,,,,
,0.059,,-0.041,-0.007,0.048,,,,,,
,0.067,,-0.049,-0.001,0.051,,,,,,
,0.072,,-0.058,0.006,0.051,,,,,,
,0.075,,-0.063,0.012,0.049,,,,,,
,0.074,,-0.062,0.01,0.05,,,,,,
,0.072,,-0.055,0.0,0.054,,,,,,
,0.073,,-0.048,-0.013,0.061,,,,,,
,0.079,,-0.05,-0.02,0.068,,,,,,
,0.088,,-0.058,-0.017,0.074,,,,,,
,0.095,,-0.064,-0.013,0.076,,,,,,
,0.095,,-0.065,-0.011,0.077,,,,,,
,0.092,,-0.062,-0.013,0.076,,,,,,
,0.089,,-0.059,-0.015,0.075,,,,,,
,0.088,,-0.058,-0.016,0.074,,,,,,
,0.089,,-0.059,-0.015,0.075,,,,,,
,0.09,,-0.06,-0.014,0.075,,,,,,
,0.09,,-0.061,-0.013,0.075,,,,,,
,0.089,,-0.059,-0.015,0.075,,,,,,
,0.087,,-0.056,-0.018,0.074,,,,,,
,0.085,,-0.053,-0.022,0.074,,,,,,
,0.084,,-0.052,-0.023,0.075,,,,,,
,0.085,,-0.052,-0.023,0.075,,,,,,
,0.084,,-0.052,-0.022,0.074,,,,,,
,0.084,,-0.052,-0.022,0.073,,,,,,
,0.084,,-0.052,-0.023,0.074,,,,,,
,0.087,,-0.055,-0.022,0.076,,,,,,
,0.094,,-0.062,-0.018,0.08,,,,,,
,0.105,,-0.073,-0.012,0.085,,,,,,
,0.119,,-0.087,-0.004,0.091,,,,,,
,0.131,,-0.099,0.0,0.097,,,,,,
,0.136,,-0.104,0.001,0.101,,,,,,
,0.134,,-0.101,0.0,0.101,,,,,,
,0.13,,-0.095,-0.004,0.1,,,,,,
,0.126,,-0.092,-0.007,0.098,,,,,,
,0.125,,-0.09,-0.008,0.097,,,,,,
,0.124,,-0.089,-0.008,0.096,,,,,,
,0.122,,-0.087,-0.009,0.095,,,,,,
,0.12,,-0.085,-0.009,0.094,,,,,,
,0.118,,-0.083,-0.011,0.093,,,,,,
,0.116,,-0.081,-0.012,0.092,,,,,,
,0.114,,-0.079,-0.012,0.091,,,,,,
,0.114,,-0.079,-0.012,0.091,,,,,,
,0.114,,-0.079,-0.013,0.092,,,,,,
,0.113,,-0.078,-0.014,0.092,,,,,,
,0.111,,-0.076,-0.016,0.091,,,,,,
,0.109,,-0.073,-0.02,0.092,,,,,,
,0.107,,-0.068,-0.025,0.093,,,,,,
,0.105,,-0.065,-0.028,0.092,,,,,,
,0.103,,-0.065,-0.025,0.089,,,,,,
,0.102,,-0.066,-0.021,0.086,,,,,,
,0.1,,-0.062,-0.025,0.086,,,,,,
,0.097,,-0.053,-0.04,0.092,,,,,,
,0.095,,-0.043,-0.057,0.099,,,,,,
,0.094,,-0.04,-0.063,0.102,,,,,,
,0.095,,-0.044,-0.056,0.099,,,,,,
,0.095,,-0.049,-0.044,0.092,,,,,,
,0.09,,-0.049,-0.037,0.085,,,,,,
,0.084,,-0.045,-0.035,0.08,,,,,,
,0.077,,-0.041,-0.034,0.075,,,,,,
,0.073,,-0.039,-0.032,0.071,,,,,,
,0.07,,-0.038,-0.03,0.067,,,,,,
,0.067,,-0.036,-0.028,0.064,,,,,,
,0.063,,-0.034,-0.026,0.06,,,,,,
,0.059,,-0.032,-0.024,0.056,,,,,,
,0.055,,-0.03,-0.022,0.052,,,,,,
,0.051,,-0.028,-0.02,0.048,,,,,,
,0.047,,-0.026,-0.018,0.044,,,,,,
,0.043,,-0.024,-0.016,0.04,,,,,,
,0.039,,-0.022,-0.014,0.036,,,,,,
,0.035,,-0.02,-0.012,0.032,,,,,,
,0.031,,-0.019,-0.01,0.028,,,,,,
,0.028,,-0.016,-0.009,0.025,,,,,,
,0.024,,-0.013,-0.009,0.022,,,,,,
,0.02,,-0.01,-0.01,0.019,,,,,,
,0.016,,-0.007,-0.01,0.016,,,,,,
,0.012,,-0.004,-0.009,0.013,,,,,,
,0.008,,-0.001,-0.01,0.011,,,,,,
,0.004,,0.002,-0.012,0.009,,,,,,
,0.0,,0.006,-0.014,0.007,,,,,,
,-0.003,,0.009,-0.014,0.005,,,,,,
,-0.007,,0.012,-0.014,0.002,,,,,,
,-0.011,,0.015,-0.015,0.0,,,,,,
,-0.014,,0.019,-0.017,-0.002,,,,,,
,-0.018,,0.023,-0.019,-0.004,,,,,,
,-0.022,,0.027,-0.02,-0.006,,,,,,
,-0.026,,0.03,-0.019,-0.009,,,,,,
,-0.03,,0.032,-0.019,-0.012,,,,,,
,-0.033,,0.034,-0.02,-0.014,,,,,,
,-0.034,,0.035,-0.02,-0.015,,,,,,
,-0.035,,0.037,-0.022,-0.014,,,,,,
,-0.034,,0.037,-0.022,-0.014,,,,,,
,-0.035,,0.037,-0.021,-0.015,,,,,,
,-0.035,,0.035,-0.02,-0.015,,,,,,
,-0.035,,0.035,-0.018,-0.016,,,,,,
,-0.035,,0.034,-0.017,-0.017,,,,,,
,-0.035,,0.034,-0.016,-0.017,,,,,,
,-0.034,,0.034,-0.016,-0.016,,,,,,
,-0.034,,0.034,-0.015,-0.017,,,,,,
,-0.035,,0.033,-0.013,-0.019,,,,,,
,-0.035,,0.033,-0.012,-0.019,,,,,,
,-0.034,,0.032,-0.012,-0.019,,,,,,
,-0.034,,0.032,-0.012,-0.019,,,,,,
,-0.036,,0.033,-0.011,-0.02,,,,,,
,-0.038,,0.034,-0.01,-0.023,,,,,,
,-0.04,,0.035,-0.009,-0.025,,,,,,
,-0.04,,0.035,-0.009,-0.026,,,,,,
,-0.039,,0.034,-0.01,-0.025,,,,,,
,-0.039,,0.034,-0.01,-0.024,,,,,,
,-0.04,,0.035,-0.01,-0.024,,,,,,
,-0.04,,0.034,-0.009,-0.025,,,,,,
,-0.039,,0.032,-0.005,-0.027,,,,,,
,-0.039,,0.03,-0.001,-0.029,,,,,,
,-0.04,,0.029,0.001,-0.03,,,,,,
,-0.04,,0.028,0.003,-0.031,,,,,,
,-0.039,,0.027,0.004,-0.032,,,,,,
,-0.038,,0.026,0.006,-0.032,,,,,,
,-0.039,,0.025,0.008,-0.033,,,,,,
,-0.04,,0.025,0.01,-0.035,,,,,,
,-0.042,,0.026,0.011,-0.037,,,,,,
,-0.044,,0.027,0.012,-0.039,,,,,,
,-0.045,,0.027,0.014,-0.041,,,,,,
,-0.045,,0.026,0.016,-0.041,,,,,,
,-0.044,,0.024,0.018,-0.042,,,,,,
,-0.044,,0.024,0.018,-0.042,,,,,,
,-0.045,,0.025,0.017,-0.041,,,,,,
,-0.045,,0.025,0.017,-0.041,,,,,,
,-0.044,,0.024,0.018,-0.041,,,,,,
,-0.044,,0.024,0.018,-0.042,,,,,,
,-0.046,,0.025,0.019,-0.044,,,,,,
,-0.046,,0.024,0.02,-0.045,,,,,,
,-0.042,,0.02,0.024,-0.043,,,,,,
,-0.039,,0.017,0.026,-0.042,,,,,,
,-0.045,,0.023,0.023,-0.045,,,,,,
,-0.061,,0.039,0.014,-0.053,,,,,,
,-0.081,,0.059,0.004,-0.062,,,,,,
,-0.094,,0.072,-0.002,-0.069,,,,,,
,-0.101,,0.077,-0.003,-0.073,,,,,,
,-0.109,,0.082,0.0,-0.08,,,,,,
,-0.124,,0.092,0.002,-0.094,,,,,,
,-0.145,,0.108,0.002,-0.11,,,,,,
,-0.165,,0.125,-0.002,-0.123,,,,,,
,-0.179,,0.14,-0.011,-0.128,,,,,,
,-0.185,,0.149,-0.02,-0.127,,,,,,
,-0.181,,0.148,-0.024,-0.123,,,,,,
,-0.173,,0.141,-0.023,-0.117,,,,,,
,-0.163,,0.133,-0.021,-0.11,,,,,,
,-0.155,,0.127,-0.021,-0.104,,,,,,
,-0.148,,0.122,-0.022,-0.099,,,,,,
,-0.139,,0.116,-0.022,-0.093,,,,,,
,-0.13,,0.108,-0.021,-0.087,,,,,,
,-0.124,,0.104,-0.022,-0.081,,,,,,
,-0.121,,0.103,-0.024,-0.078,,,,,,
,-0.115,,0.099,-0.025,-0.073,,,,,,
,-0.102,,0.088,-0.022,-0.065,,,,,,
,-0.084,,0.071,-0.015,-0.054,,,,,,
,-0.066,,0.055,-0.011,-0.042,,,,,,
,-0.051,,0.046,-0.014,-0.03,,,,,,
,-0.036,,0.036,-0.017,-0.018,,,,,,
,-0.015,,0.017,-0.013,-0.004,,,,,,
,0.014,,-0.01,-0.001,0.011,,,,,,
,0.048,,-0.038,0.002,0.034,,,,,,
,0.083,,-0.057,-0.01,0.068,,,,,,
,0.12,,-0.071,-0.037,0.108,,,,,,
,0.16,,-0.09,-0.059,0.15,,,,,,
,0.207,,-0.12,-0.071,0.19,,,,,,
,0.261,,-0.156,-0.08,0.235,,,,,,
,0.321,,-0.192,-0.098,0.29,,,,,,
,0.386,,-0.227,-0.127,0.353,,,,,,
,0.453,,-0.262,-0.156,0.418,,,,,,
,0.517,,-0.299,-0.178,0.477,,,,,,
,0.578,,-0.337,-0.195,0.532,,,,,,
,0.636,,-0.373,-0.209,0.582,,,,,,
,0.687,,-0.408,-0.216,0.623,,,,,,
,0.725,,-0.44,-0.207,0.647,,,,,,
,0.745,,-0.467,-0.184,0.65,,,,,,
,0.755,,-0.49,-0.152,0.642,,,,,,
,0.764,,-0.512,-0.123,0.634,,,,,,
,0.775,,-0.532,-0.1,0.631,,,,,,
,0.784,,-0.55,-0.076,0.625,,,,,,
,0.786,,-0.567,-0.046,0.613,,,,,,
,0.787,,-0.584,-0.013,0.597,,,,,,
,0.792,,-0.604,0.019,0.584,,,,,,
,0.799,,-0.625,0.05,0.574,,,,,,
,0.798,,-0.641,0.083,0.556,,,,,,
,0.776,,-0.642,0.119,0.522,,,,,,
,0.732,,-0.627,0.156,0.471,,,,,,
,0.678,,-0.604,0.19,0.413,,,,,,
,0.626,,-0.58,0.22,0.359,,,,,,
,0.578,,-0.555,0.241,0.313,,,,,,
,0.533,,-0.525,0.248,0.275,,,,,,
,0.493,,-0.495,0.248,0.245,,,,,,
,0.462,,-0.472,0.252,0.219,,,,,,
,0.434,,-0.457,0.263,0.193,,,,,,
,0.396,,-0.429,0.264,0.164,,,,,,
,0.339,,-0.372,0.236,0.135,,,,,,
,0.272,,-0.295,0.182,0.112,,,,,,
,0.218,,-0.229,0.13,0.097,,,,,,
,0.191,,-0.192,0.097,0.093,,,,,,
,0.182,,-0.175,0.076,0.098,,,,,,
,0.175,,-0.155,0.047,0.108,,,,,,
,0.162,,-0.125,0.005,0.119,,,,,,
,0.147,,-0.093,-0.036,0.128,,,,,,
,0.136,,-0.07,-0.064,0.134,,,,,,
,0.129,,-0.058,-0.078,0.136,,,,,,
,0.123,,-0.051,-0.083,0.134,,,,,,
,0.115,,-0.045,-0.082,0.127,,,,,,
,0.107,,-0.041,-0.079,0.119,,,,,,
,0.099,,-0.036,-0.076,0.112,,,,,,
,0.091,,-0.032,-0.074,0.106,,,,,,
,0.084,,-0.027,-0.073,0.099,,,,,,
,0.076,,-0.022,-0.069,0.092,,,,,,
,0.068,,-0.017,-0.067,0.084,,,,,,
,0.06,,-0.011,-0.068,0.078,,,,,,
,0.052,,-0.005,-0.069,0.073,,,,,,
,0.044,,0.0,-0.068,0.066,,,,,,
,0.037,,0.003,-0.061,0.057,,,,,,
,0.029,,0.004,-0.053,0.047,,,,,,
,0.021,,0.005,-0.044,0.037,,,,,,
,0.015,,0.005,-0.036,0.029,,,,,,
,0.01,,0.006,-0.03,0.023,,,,,,
,0.006,,0.007,-0.025,0.017,,,,,,
,0.002,,0.008,-0.022,0.013,,,,,,
,-0.001,,0.01,-0.019,0.008,,,,,,
,-0.007,,0.013,-0.016,0.002,,,,,,
,-0.013,,0.016,-0.013,-0.003,,,,,,
,-0.018,,0.018,-0.008,-0.008,,,,,,
,-0.021,,0.018,-0.004,-0.013,,,,,,
,-0.026,,0.02,-0.001,-0.018,,,,,,
,-0.031,,0.024,0.0,-0.023,,,,,,
,-0.037,,0.028,0.0,-0.028,,,,,,
,-0.042,,0.031,0.001,-0.033,,,,,,
,-0.046,,0.032,0.005,-0.037,,,,,,
,-0.05,,0.033,0.01,-0.042,,,,,,
,-0.056,,0.035,0.013,-0.048,,,,,,
,-0.062,,0.038,0.016,-0.054,,,,,,
,-0.067,,0.041,0.019,-0.059,,,,,,
,-0.069,,0.042,0.02,-0.061,,,,,,
,-0.07,,0.043,0.019,-0.062,,,,,,
,-0.07,,0.043,0.019,-0.061,,,,,,
,-0.069,,0.042,0.02,-0.062,,,,,,
,-0.069,,0.042,0.02,-0.062,,,,,,
,-0.07,,0.043,0.019,-0.061,,,,,,
,-0.07,,0.043,0.019,-0.061,,,,,,
,-0.069,,0.042,0.02,-0.062,,,,,,
,-0.069,,0.042,0.02,-0.062,,,,,,
,-0.07,,0.043,0.019,-0.061,,,,,,
,-0.07,,0.043,0.019,-0.061,,,,,,
,-0.069,,0.042,0.02,-0.062,,,,,,
,-0.069,,0.042,0.02,-0.062,,,,,,
,-0.07,,0.043,0.019,-0.061,,,,,,
,-0.07,,0.043,0.019,-0.061,,,,,,
,-0.069,,0.042,0.02,-0.062,,,,,,
,-0.069,,0.042,0.02,-0.062,,,,,,
,-0.07,,0.043,0.019,-0.061,,,,,,
,-0.07,,0.043,0.019,-0.061,,,,,,
,-0.07,,0.043,0.019,-0.062,,,,,,
,-0.07,,0.042,0.02,-0.062,,,,,,
,-0.07,,0.042,0.02,-0.062,,,,,,
,-0.069,,0.043,0.019,-0.061,,,,,,
,-0.069,,0.043,0.019,-0.061,,,,,,
,-0.07,,0.043,0.02,-0.062,,,,,,
,-0.07,,0.043,0.02,-0.062,,,,,,
,-0.069,,0.042,0.019,-0.061,,,,,,
,-0.07,,0.042,0.019,-0.062,,,,,,
,-0.072,,0.043,0.021,-0.064,,,,,,
,-0.074,,0.044,0.022,-0.066,,,,,,
,-0.075,,0.045,0.023,-0.067,,,,,,
,-0.075,,0.045,0.023,-0.067,,,,,,
,-0.074,,0.044,0.022,-0.066,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.074,,0.044,0.023,-0.066,,,,,,
,-0.075,,0.045,0.022,-0.067,,,,,,
,-0.075,,0.045,0.023,-0.067,,,,,,
,-0.077,,0.046,0.024,-0.069,,,,,,
,-0.078,,0.047,0.024,-0.071,,,,,,
,-0.081,,0.049,0.024,-0.073,,,,,,
,-0.083,,0.051,0.024,-0.074,,,,,,
,-0.085,,0.053,0.023,-0.075,,,,,,
,-0.086,,0.055,0.021,-0.075,,,,,,
,-0.088,,0.056,0.02,-0.076,,,,,,
,-0.089,,0.057,0.019,-0.077,,,,,,
,-0.09,,0.058,0.019,-0.077,,,,,,
,-0.09,,0.058,0.02,-0.076,,,,,,
,-0.091,,0.059,0.019,-0.077,,,,,,
,-0.093,,0.061,0.018,-0.079,,,,,,
,-0.094,,0.062,0.017,-0.079,,,,,,
,-0.094,,0.062,0.018,-0.079,,,,,,
,-0.094,,0.062,0.018,-0.079,,,,,,
,-0.096,,0.064,0.016,-0.08,,,,,,
,-0.098,,0.066,0.015,-0.081,,,,,,
,-0.099,,0.067,0.014,-0.082,,,,,,
,-0.1,,0.068,0.014,-0.082,,,,,,
,-0.1,,0.068,0.014,-0.081,,,,,,
,-0.101,,0.069,0.014,-0.082,,,,,,
,-0.103,,0.071,0.013,-0.083,,,,,,
,-0.104,,0.072,0.013,-0.084,,,,,,
,-0.105,,0.073,0.012,-0.085,,,,,,
,-0.105,,0.073,0.012,-0.085,,,,,,
,-0.104,,0.072,0.013,-0.084,,,,,,
,-0.104,,0.072,0.013,-0.084,,,,,,
,-0.105,,0.073,0.012,-0.085,,,,,,
,-0.105,,0.073,0.012,-0.085,,,,,,
,-0.104,,0.073,0.013,-0.084,,,,,,
,-0.104,,0.073,0.013,-0.084,,,,,,
,-0.105,,0.072,0.012,-0.085,,,,,,
,-0.105,,0.072,0.012,-0.085,,,,,,
,-0.104,,0.073,0.013,-0.085,,,,,,
,-0.104,,0.073,0.013,-0.085,,,,,,
,-0.105,,0.072,0.012,-0.084,,,,,,
,-0.105,,0.072,0.012,-0.084,,,,,,
,-0.104,,0.073,0.013,-0.085,,,,,,
,-0.104,,0.073,0.013,-0.085,,,,,,
,-0.105,,0.072,0.012,-0.084,,,,,,
,-0.105,,0.072,0.012,-0.084,,,,,,
,-0.104,,0.073,0.013,-0.085,,,,,,
,-0.105,,0.073,0.013,-0.085,,,,,,
,-0.104,,0.072,0.013,-0.084,,,,,,
,-0.104,,0.072,0.013,-0.084,,,,,,
,-0.105,,0.072,0.013,-0.085,,,,,,
,-0.105,,0.073,0.012,-0.084,,,,,,
,-0.105,,0.073,0.012,-0.084,,,,,,
,-0.104,,0.072,0.013,-0.085,,,,,,
,-0.104,,0.072,0.013,-0.085,,,,,,
,-0.105,,0.073,0.012,-0.084,,,,,,
,-0.105,,0.073,0.012,-0.084,,,,,,
,-0.104,,0.072,0.013,-0.085,,,,,,
,-0.104,,0.072,0.013,-0.085,,,,,,
,-0.105,,0.073,0.012,-0.084,,,,,,
,-0.105,,0.073,0.012,-0.084,,,,,,
,-0.104,,0.071,0.014,-0.085,,,,,,
,-0.104,,0.07,0.016,-0.086,,,,,,
,-0.105,,0.069,0.017,-0.087,,,,,,
,-0.105,,0.069,0.018,-0.087,,,,,,
,-0.104,,0.07,0.018,-0.086,,,,,,
,-0.104,,0.07,0.019,-0.087,,,,,,
,-0.105,,0.069,0.021,-0.089,,,,,,
,-0.104,,0.067,0.023,-0.09,,,,,,
,-0.103,,0.066,0.024,-0.089,,,,,,
,-0.103,,0.066,0.023,-0.089,,,,,,
,-0.107,,0.07,0.022,-0.091,,,,,,
,-0.116,,0.078,0.02,-0.096,,,,,,
,-0.124,,0.084,0.018,-0.102,,,,,,
,-0.129,,0.088,0.016,-0.104,,,,,,
,-0.13,,0.089,0.015,-0.104,,,,,,
,-0.129,,0.09,0.014,-0.104,,,,,,
,-0.13,,0.091,0.012,-0.103,,,,,,
,-0.13,,0.092,0.01,-0.102,,,,,,
,-0.129,,0.093,0.009,-0.101,,,,,,
,-0.129,,0.093,0.009,-0.101,,,,,,
,-0.13,,0.092,0.01,-0.102,,,,,,
,-0.13,,0.092,0.01,-0.102,,,,,,
,-0.129,,0.093,0.009,-0.101,,,,,,
,-0.129,,0.093,0.008,-0.101,,,,,,
,-0.13,,0.094,0.006,-0.101,,,,,,
,-0.13,,0.094,0.005,-0.1,,,,,,
,-0.129,,0.095,0.004,-0.099,,,,,,
,-0.129,,0.095,0.004,-0.099,,,,,,
,-0.131,,0.096,0.004,-0.1,,,,,,
,-0.133,,0.097,0.004,-0.101,,,,,,
,-0.135,,0.1,0.003,-0.102,,,,,,
,-0.135,,0.102,0.0,-0.1,,,,,,
,-0.135,,0.102,0.0,-0.1,,,,,,
,-0.134,,0.103,-0.002,-0.099,,,,,,
,-0.134,,0.102,-0.002,-0.1,,,,,,
,-0.135,,0.103,-0.002,-0.099,,,,,,
,-0.135,,0.103,-0.001,-0.099,,,,,,
,-0.134,,0.103,0.0,-0.1,,,,,,
,-0.134,,0.103,-0.002,-0.1,,,,,,
,-0.135,,0.104,-0.004,-0.099,,,,,,
,-0.135,,0.103,-0.003,-0.099,,,,,,
,-0.134,,0.099,0.004,-0.102,,,,,,
,-0.134,,0.093,0.016,-0.108,,,,,,
,-0.135,,0.09,0.023,-0.112,,,,,,
,-0.137,,0.09,0.024,-0.114,,,,,,
,-0.139,,0.094,0.021,-0.114,,,,,,
,-0.14,,0.096,0.017,-0.114,,,,,,
,-0.14,,0.096,0.017,-0.114,,,,,,
,-0.14,,0.094,0.02,-0.115,,,,,,
,-0.139,,0.09,0.028,-0.119,,,,,,
,-0.139,,0.086,0.037,-0.123,,,,,,
,-0.14,,0.084,0.041,-0.125,,,,,,
,-0.139,,0.085,0.039,-0.124,,,,,,
,-0.14,,0.087,0.035,-0.121,,,,,,
,-0.14,,0.088,0.033,-0.12,,,,,,
,-0.139,,0.087,0.034,-0.121,,,,,,
,-0.139,,0.087,0.035,-0.121,,,,,,
,-0.14,,0.088,0.034,-0.121,,,,,,
,-0.139,,0.088,0.034,-0.121,,,,,,
,-0.138,,0.086,0.036,-0.121,,,,,,
,-0.136,,0.083,0.038,-0.121,,,,,,
,-0.134,,0.082,0.037,-0.119,,,,,,
,-0.134,,0.083,0.035,-0.117,,,,,,
,-0.135,,0.084,0.033,-0.116,,,,,,
,-0.135,,0.084,0.033,-0.116,,,,,,
,-0.134,,0.085,0.032,-0.117,,,,,,
,-0.134,,0.084,0.032,-0.117,,,,,,
,-0.135,,0.085,0.033,-0.117,,,,,,
,-0.135,,0.084,0.033,-0.117,,,,,,
,-0.133,,0.083,0.034,-0.116,,,,,,
,-0.131,,0.081,0.034,-0.116,,,,,,
,-0.13,,0.08,0.035,-0.114,,,,,,
,-0.129,,0.08,0.033,-0.113,,,,,,
,-0.129,,0.081,0.031,-0.112,,,,,,
,-0.13,,0.083,0.029,-0.111,,,,,,
,-0.13,,0.083,0.029,-0.111,,,,,,
,-0.129,,0.082,0.03,-0.112,,,,,,
,-0.129,,0.082,0.03,-0.111,,,,,,
,-0.13,,0.083,0.029,-0.112,,,,,,
,-0.129,,0.082,0.029,-0.112,,,,,,
,-0.127,,0.08,0.031,-0.111,,,,,,
,-0.125,,0.078,0.032,-0.11,,,,,,
,-0.124,,0.077,0.033,-0.109,,,,,,
,-0.124,,0.077,0.034,-0.109,,,,,,
,-0.125,,0.078,0.033,-0.109,,,,,,
,-0.125,,0.078,0.03,-0.108,,,,,,
,-0.124,,0.079,0.028,-0.107,,,,,,
,-0.125,,0.08,0.027,-0.106,,,,,,
,-0.124,,0.079,0.028,-0.107,,,,,,
,-0.124,,0.079,0.028,-0.107,,,,,,
,-0.125,,0.08,0.027,-0.106,,,,,,
,-0.125,,0.08,0.027,-0.106,,,,,,
,-0.124,,0.079,0.028,-0.107,,,,,,
,-0.122,,0.077,0.029,-0.106,,,,,,
,-0.12,,0.075,0.029,-0.105,,,,,,
,-0.119,,0.075,0.028,-0.103,,,,,,
,-0.12,,0.076,0.026,-0.102,,,,,,
,-0.12,,0.077,0.025,-0.102,,,,,,
,-0.119,,0.078,0.024,-0.101,,,,,,
,-0.119,,0.077,0.025,-0.101,,,,,,
,-0.12,,0.078,0.024,-0.102,,,,,,
,-0.12,,0.078,0.024,-0.102,,,,,,
,-0.119,,0.077,0.025,-0.101,,,,,,
,-0.117,,0.075,0.026,-0.101,,,,,,
,-0.115,,0.073,0.028,-0.1,,,,,,
,-0.114,,0.073,0.027,-0.099,,,,,,
,-0.115,,0.074,0.025,-0.098,,,,,,
,-0.115,,0.072,0.028,-0.1,,,,,,
,-0.114,,0.068,0.036,-0.104,,,,,,
,-0.114,,0.063,0.045,-0.108,,,,,,
,-0.115,,0.061,0.049,-0.109,,,,,,
